ngram,n,frecuencia,pct_del_total,n_documentos,pct_documentos
presidente bernardo arevalo,3,9,0.294,7,1.77
hand purple blue,3,3,0.098,1,0.25
purple blue peace,3,3,0.098,1,0.25
morir el hambre,3,3,0.098,3,0.76
diputado nery roda,3,3,0.098,3,0.76
apoyo presidente bernardo,3,3,0.098,3,0.76
blue peace hand,3,2,0.065,1,0.25
peace hand purple,3,2,0.065,1,0.25
sueldo buscar trabajo,3,2,0.065,2,0.51
pueblo morir el,3,2,0.065,2,0.51
vivo presidente bernardo,3,2,0.065,2,0.51
ley competencia seguir,3,2,0.065,2,0.51
destapo corrupcion existia,3,2,0.065,2,0.51
corrupcion existia contamino,3,2,0.065,2,0.51
existia contamino ampliacion,3,2,0.065,2,0.51
contamino ampliacion deuda,3,2,0.065,2,0.51
ampliacion deuda comunidad,3,2,0.065,2,0.51
deuda comunidad internacional,3,2,0.065,2,0.51
comunidad internacional prestar,3,2,0.065,2,0.51
internacional prestar carretero,3,2,0.065,2,0.51
prestar carretero concesion,3,2,0.065,2,0.51
carretero concesion aeropuerto,3,2,0.065,2,0.51
concesion aeropuerto puerto,3,2,0.065,2,0.51
aeropuerto puerto carretero,3,2,0.065,2,0.51
puerto carretero millonario,3,2,0.065,2,0.51
carretero millonario eurobo,3,2,0.065,2,0.51
millonario eurobo yo,3,2,0.065,2,0.51
eurobo yo vender,3,2,0.065,2,0.51
yo vender canasta,3,2,0.065,2,0.51
vender canasta basico,3,2,0.065,2,0.51
